custentity_hs_vid,salesreadines,buyingtimeframe,buyingreason,Projected Value
71252701,,,,"$39,000 - $44,000"
72958651,,,,"$15,000"
70203851,,,,"$15,000 - $29,000"
67757551,,,,"$15,000 - $29,000"
68636401,,,,"$15,000 - $29,000"
72095652,,,,"$15,000 - $29,000"
70186951,,,,"$15,000 - $29,000"
66717201,,,,"$15,000 - $29,000"
66153501,,,,"$15,000 - $29,000"
67807718,Warm,,,
69983451,,,,"$15,000 - $29,000"
73576851,Cold,,,
67895551,,,,"$39,000 - $44,000"
70506951,,,,"$15,000 - $29,000"
73036451,,,,"$15,000 - $29,000"
67225851,,,,"$15,000"
69260251,,,,"$15,000 - $29,000"
77124251,,,,"$15,000 - $29,000"
77377951,,,,"$15,000 - $29,000"
75173501,,,,"$15,000 - $29,000"
78345901,,,,"$15,000 - $29,000"
74201451,,,,"$15,000 - $29,000"
78185895,,,,"$15,000 - $29,000"
75644301,,,,"$15,000 - $29,000"
76698501,,,,"$15,000 - $29,000"
74611051,,,,"$15,000 - $29,000"
75127651,,,,"$15,000 - $29,000"
78355851,,,,"$15,000 - $29,000"
76110251,,,,"$15,000 - $29,000"
75471451,,,,"$15,000 - $29,000"
76018351,,,,"$15,000 - $29,000"
77922701,,,,"$15,000 - $29,000"
75696301,,,,"$15,000 - $29,000"
78221958,,,,"$15,000"
78133401,,,,"$15,000 - $29,000"
75853751,,,,"$15,000 - $29,000"
74932801,,,,"$15,000 - $29,000"
78932110,Warm,,,
75137601,,,,"> $200,000"
77636251,,,,"$15,000 - $29,000"
74903351,,,,"$15,000 - $29,000"
77526751,,,,"$78,000 - $107,000"
74229551,,,,"$15,000 - $29,000"
75511751,,,,"$15,000 - $29,000"
75198001,,,,"$15,000 - $29,000"
76874201,,,,"$15,000 - $29,000"
75430451,,,,"$15,000 - $29,000"
77550801,,,,"$15,000 - $29,000"
76385501,,,,"$15,000 - $29,000"
77641201,,,,"$15,000 - $29,000"
75319851,Cold,,,
75905501,,,,"$39,000 - $44,000"
73870651,,,,"$15,000 - $29,000"
76296401,,,,"$15,000"
76928501,,,,"$15,000 - $29,000"
78185675,,,,"$106,000 - $140,000"
75987951,,,,"$15,000 - $29,000"
75923951,,,,"$15,000 - $29,000"
76960251,,,,"$15,000 - $29,000"
77280501,,,,"$15,000 - $29,000"
75050251,,,,"$15,000 - $29,000"
75702001,,,,"$39,000 - $44,000"
76102651,,,,"$15,000 - $29,000"
76709651,,,,"$15,000 - $29,000"
74633201,,,,"$15,000 - $29,000"
77780001,,,,"$15,000 - $29,000"
